Companies,pca_clusters,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,pc19,pc20,pc21,pc22,pc23,pc24,pc25,pc26,pc27,pc28,pc29,pc30,pc31,pc32,pc33,pc34,pc35,pc36,pc37,pc38,pc39,pc40,pc41,pc42,pc43,pc44,pc45,pc46,pc47,pc48,pc49,pc50,pc51,pc52,pc53,pc54,pc55,pc56,pc57,pc58,pc59,pc60,pc61,pc62,pc63,pc64,pc65,pc66,pc67,pc68,pc69,pc70,pc71,pc72,pc73,pc74,pc75,pc76,pc77,pc78,pc79
3M Company,0,-0.3769959944007663,-0.053251998617312696,0.06157532919644438,-0.033205796562862024,-0.12947494592274017,-0.07014661211820407,-0.07086426268539568,0.12147608926463696,-0.04114844699295111,-0.003697882653078503,0.0876366040216816,-0.04624873106744718,-0.12041651601813687,-0.14638945557506106,-0.07934760624087447,0.02101553818129168,0.015434081075552476,0.08855122329203258,-0.00703274812817684,-0.021183242546647024,-0.06270340924873456,-0.08481816355690791,0.07833091484376568,0.018124461589970935,-0.036413260705449174,0.05696439395243546,-0.16784963874713527,-0.11011881743379924,0.11950989004990833,0.0744795605719851,0.04159117288555252,0.07073964799599812,0.008570939162571062,-0.08870146267329088,0.10244911598948346,0.020102995406363823,-0.010170744821273309,-0.0703161432628242,0.0883006876596111,-0.02287568328849781,0.033058072928751986,-0.06663745310381608,-0.03227100881745234,-0.14140758151824456,0.04846793335071042,0.014837411752923413,-0.03421801433194974,0.06948405488064938,-0.012100752566805683,-0.1084917145788517,-0.12119850742216035,0.07021938250542907,-0.0956271820532725,0.02316222296420366,-0.015564283234059971,-0.013702157484197135,0.014347310871297253,-0.0025546115999035245,0.03862038583294142,0.06571169151760617,-0.06009827238080898,-0.012058469742417043,-0.03642902328485581,0.022919292056065257,-0.018550736465635796,-0.014228068493290766,0.04773135644974035,-0.18637821843615002,0.010372820805938229,-0.002281274342985715,0.019232824003169138,-0.020697384012013355,-0.05471083906682519,-0.009710070411852515,-0.01452224835840006,0.027313612561420283,0.015809850882140854,-0.03232635433081872,0.053950739524744454,0.04734990211895456
Abbott Laboratories,3,0.19785159774485367,0.3022575311170843,0.13703371785707893,0.3514704761307985,-0.14743437901707324,-0.040437079981652385,0.06198110814754086,0.026258932996001894,-0.04340195653637655,-0.057817787856375376,-0.11439798812051924,-0.03879691247195957,0.013731321621115653,-0.06871515308028528,-0.04636907736051335,0.07956315048293873,-0.14363965734699383,-0.0247436196855031,-0.11144193460573756,-0.06074828205430464,-0.06161228446720641,-0.02964717134281957,-0.028323854909610535,-0.014253996543480476,-0.009940411240258401,0.008829920815162956,-0.09479107304120991,-0.018484240378545364,0.04471125583155918,0.037991041651076536,-0.012034663939666321,-0.027642058985394707,-0.0436062663246384,-0.009033366508358454,0.016035198944723588,-0.009436261731433988,-0.01877769835512442,0.035101677283838735,0.03797941910990816,-0.07898124838792893,-0.0029267550931604486,0.057818915928631455,-0.0596476004295908,0.08998272856409877,-0.028904696304338853,0.012211869387027485,0.04183205896810042,-0.07437858627670087,0.08154987557785426,-0.03096563700301281,0.015934380067058267,-0.12448047585766206,-0.02884289832439091,0.006287816810692854,0.007017853383523991,0.03621270554924707,0.0192150133672493,-0.05755517039741556,-0.021855518275606486,0.015416482877990401,-0.050607484011566874,0.017444779743984846,0.09709311830891813,0.05239890725146395,0.0780005407795051,-0.010919927477935376,0.02759874646118798,-0.037087457758705464,-0.03309107141728587,-0.022977261528878367,-0.06434038913562085,-0.0057908850974772805,0.042570760434189524,0.033534999543117096,0.042299243357275564,-0.017664927678334184,-0.013276509181552319,0.05653447733920081,0.039464799698615646,-0.0006926979500627032
AbbVie Inc.,3,0.027388639091951036,-0.02224178091992287,0.20380991709276602,0.10741879011022334,-0.042654891538643235,-0.04471963488202024,0.08003464964882236,0.006446382749335774,-0.062160712566991766,0.042883776046697436,-0.019638999553994875,0.10717163206320471,0.11144944723104452,-0.12364610583824397,-0.054787466714076305,-0.06804451052604465,-0.11990641932809569,-0.02105626190870609,-0.09855627845599996,0.19862910933203048,0.029280998015978624,0.044994764073542304,-0.020976044657509622,-0.12545148160964353,-0.02670916022075375,0.07977184382737343,-0.16162567636621258,0.2011417360161226,0.07513981513738131,0.05287357103652552,0.1614426201069673,-0.1196953115690242,-0.00278741359125382,-0.06920330575355044,-0.04133000621176819,0.02817029868370716,-0.008644421010581294,0.1873011486502552,-0.007289321092425631,-0.06192463515120504,-0.03133710417325521,-0.01704247445243512,0.0867384759576616,-0.013302612799675869,0.009125745429752101,-0.126621074485554,0.1643577870707091,-0.027654076581628162,0.05573361334278124,-0.06642639760748983,-0.071217149479096,0.09560835330935606,-0.10685060607548322,-0.11982979027846453,0.09276181795140859,-0.04678457608606867,0.014913416773725765,-0.10533221171203075,-0.014920143577599559,-0.012987082058176136,-0.09327020851041748,-0.003125540326699766,0.10150196241957733,0.029800497605875133,-0.06520005511485656,0.02688649267007569,-0.001630014182357249,-0.10750009070947207,0.07977797813725117,-0.017365181791881776,0.09876414748958215,0.0701096829565319,-0.031693285679291604,0.11105722462581842,0.03096347812976482,-0.06605432256614621,0.053363553660975734,0.07107302479765736,-0.06317906161012836,0.07962080883973426
ABIOMED Inc,3,-0.0072404070060692535,0.06249499094547932,0.3088948568647042,0.21558434824677122,0.0034839627775118363,0.00020927910263345283,0.08953781356197436,0.06872345130352658,0.22763078395709516,0.006039545075578944,-0.2769118564346526,-0.09353352105093529,-0.07374450611502494,0.025996616366893356,0.11737511053632048,-0.012660680479158606,-0.10161466793558081,0.05655876274375136,-0.08973436950550681,0.13609261719999421,0.10245539250686647,-0.10807629423616674,-0.11726298574423752,-0.06745832095422373,0.14446735017411402,0.1296633086895847,-0.10847570657133904,-0.12675346625971717,-0.11245805609225422,-0.042179887769274026,0.03305351481143876,-0.03781795847940537,0.04553506353394078,0.009927739649465892,0.039451637925768106,-0.032768157766628905,0.1961488141653327,-0.08204375888250337,-0.12056934790309273,0.007303139043024997,-0.053726234172203596,0.1600466881149881,0.12812456365143868,0.041565974639025366,-0.019296038840394807,-0.0977402726523811,0.028341146194504445,-0.12559894542846345,-0.007304486317630188,-0.03779099843061589,0.08326536344122024,-0.002847943218795527,-0.10444681240074859,0.04041909332867309,0.031779999539983596,0.10452890982728191,0.03242364668151943,-0.012992607664667748,0.16292255682916895,-0.05519806360868121,-0.005299387883275447,0.08417198207729795,-0.11924776405855854,-0.018768644955970262,0.0713533050780088,-0.16625713154047744,-0.005412555711578104,-0.05623145778397906,-0.052039548158308,-0.005274265809559011,0.0617564529831543,-0.051866998267772635,0.0017349709274523388,0.013909219011588467,-0.04176293943636751,-0.10688077863382153,-0.14399394284510075,-0.04106850598315408,-0.0878474310617423,-0.0017123200279142506
Accenture plc,1,0.23512013244021956,0.40537842155626763,-0.0797249693647773,-0.0558607397253263,-0.029787868619661147,0.03308719859923352,-0.09014255803832519,0.03438101676525327,-0.14895285866614294,-0.043228471904547275,0.06495913553814528,-0.01710095757382953,-0.06991482167226205,0.045254319002154805,0.025795919586493365,-0.058323214932531474,-0.03298301802805565,-0.009465658308540745,0.09745199143936675,-0.012234140986096462,0.06394208739619357,0.03460699005502807,-0.009123211132494487,-0.04736825114933923,-0.029284349303792857,0.00695498081233523,-0.009879176352484498,0.0496838651553196,0.014433810056528221,0.05816158105544257,-0.016295228413499646,-0.058120893903665226,0.0663604129657404,0.12120867593107272,-0.04847956602249975,0.04605611091691164,0.011751064786295853,0.008801797385669708,0.08417437344638284,0.00801709321750473,0.021318079606897498,0.02879206476067685,0.033750492959603175,-0.0004062770118234103,0.13224217844958833,0.04820965529553191,-0.030512321468127174,0.0155276374038264,0.06287051363182197,0.023481964658179803,-0.06651063564190603,0.04289369478124152,-0.05032721097906381,0.05360535549460416,-0.06971785272112374,0.031472610901720384,0.05296567159849925,0.05383232834306818,0.006035871170505071,-0.042126621015707647,0.033334626751756725,-0.0032768844395908367,0.0019204475883929945,0.08272728768520991,-0.013062890555542389,-0.04948266500953479,0.015309052955670078,-0.06967227465784726,0.030587573994465413,0.05772241398752839,0.0451098962946842,0.013218861699917931,-0.009532054330707408,-0.028045152574847087,-0.008314767557047435,-0.025183154122061752,0.00886085603010886,-0.039216407385043735,-0.03669903731412543,0.059161691354512894
Activision Blizzard,1,0.01852472211271412,0.1597696609318802,0.17180941271057384,-0.16288509305837398,-0.006162685457518128,0.037489826569859795,0.019752266652526475,-0.10755078429874398,0.076779260022211,-0.06855969336664963,0.05501032097998077,-0.005228309786806651,0.1107071593073016,0.011316590599962362,0.05939798965955101,-0.030964944318496584,0.1867556672724924,0.0183028228280798,-0.057404105199698865,-0.21101295295292785,0.14682541725284767,0.08406638217560634,-0.09153348148845838,-0.024863770171130267,0.1803278834343438,0.15465321874648086,-0.0583928962625815,-0.13121577474561888,0.1723908976725846,-0.05768963827484784,0.014512887075807852,0.031967628022322815,-0.1505068927616706,0.15744192975904367,-0.03507772457307202,-0.05966497627259243,-0.06551147428515675,-0.009273251939403985,0.08101041101248048,0.05004294128249671,-0.0347743366659736,-0.043258805288959576,0.032884585118329625,-0.07795680059397518,-0.06514724220552319,0.05258236210267295,0.11616212923638279,-0.07711001350428655,-0.045457914540831895,0.06256660505237163,0.10631720732201141,-0.005906867392271323,-0.0201468215071671,0.015633602990603863,0.04966935333910541,0.009127779863432502,0.0017864979013950274,-0.060304719697440314,-0.018540304409428474,-0.099374557424969,0.04482117692961767,-0.09103513042353209,-0.02102804128850279,0.015405973925029737,-0.09018709543384323,0.005061088169197972,0.016119370362045412,-0.04859235640060551,-0.03925302050616629,0.04233587071383842,0.03735431938228766,0.018011502892669947,0.027292117994880516,-0.031996905816761956,-0.07552765342005247,0.01900679455121439,0.0286829198115273,-0.01972157190908856,0.046443432250567164,0.0423938840047422
Adobe Inc.,1,0.1749122245550964,0.429932531733552,0.08793106757007069,-0.12055691221612164,-0.05313036611474774,-0.009845652636655608,-0.08566411204634672,-0.18082605502826307,-0.12124863626404359,0.20011169621918504,-0.012370504432853518,0.10645199575515857,-0.020975491859484587,0.0868524498508485,-0.03076084244011889,0.039891129039523895,-0.05236988248689929,0.007764021932953313,-0.06456128927338664,-0.055278373457564915,0.020179248533997666,-0.08227444848531375,-0.10410466277241676,-0.016175228314023873,0.012940736753121686,0.0345074733369119,-0.04051110226200438,-0.04636554101938804,-0.021830975321973867,0.003639156388834644,-0.008222170612340122,0.027178126013978707,-0.010037777651178966,-0.027505377360778342,-0.02946988915251815,-0.010284710655872258,-0.09336279648446148,0.014233375389980998,-0.01659455709252007,-0.05831382611013818,0.0737183133090936,0.06406990592266829,0.08515720472058569,-0.02057006053162399,-0.01285794858971508,-0.017164520824678463,-0.015365370705303322,0.04232220924891608,-0.015768623060548385,-0.00486765586674318,0.02002263655199011,0.10334473687127893,0.0749166520767626,-0.044021570181809765,-0.01140406610127142,-0.007314319230470704,0.01695033986312174,0.05571720253078715,0.014697243240910561,-0.004947810365573263,-0.01620285638518065,-0.05052060240993078,0.0017837619461135215,0.0020297544613911,0.032098408319426674,-0.023062880804641046,0.08425287128962268,0.008882944720287963,0.0711251162283081,-0.053293002566345664,-0.011503423720484142,0.07725624888620282,0.03926855889226486,0.03358200219944443,0.008969760202569193,0.023263303155342405,0.025054217073511027,-0.1082829581769753,0.01582462251627802,0.025946050661049724
Advanced Micro Devices Inc,1,-0.11133893473910376,0.24076553393202987,0.15376505486198708,-0.10395884020081747,-0.023689044073912386,-0.049188846338622194,0.05007482594860497,-0.10912534582326157,0.069529332067462,-0.08930384472140399,-0.01944278606103825,0.09682585498296638,0.002369388257585465,-0.021681310058140196,0.04616216561177776,-0.02168630176654177,0.03535579711429984,-0.08197471332439002,-0.029395202015985153,-0.023381742946467613,-0.09911347443518123,-0.02072728404817721,-0.071185250665981,-0.041904334972559965,0.09354302534335193,0.07224950502593573,0.0650191666387127,-0.11487502607244865,-0.075532163859599,0.07831828686197186,0.14621879568747764,0.04724500066630815,0.04380363468298193,-0.02346191531962015,0.06882409703647141,0.03673740602658449,-0.039243769539838574,0.12548363221967498,-0.11950798490120841,-0.07032969082993147,-0.026754351980677746,-0.11384678668366141,0.09604518505095767,-0.2015948444091665,0.015728578486180915,0.010589223530057737,0.18216078418575227,0.030338199465648166,-0.1740179572364536,-0.0010443079762377722,-0.06330453754169629,0.04356989177043733,-0.024971463906704565,-0.06927534429802495,-0.1177499922760848,0.028142267102929528,-0.023433364119099433,0.04754671989974322,0.025747105493823978,0.07881953407126958,-0.1449409071475258,0.04175056173564249,-0.05432338330869535,0.02539587410169463,-0.004727115975217875,0.05420074013855737,0.07589253354214648,0.02800686032756627,-0.0328998292934479,0.025256103326129143,0.02739584299917932,-0.038745021193442454,-0.07228424696234319,0.012987871641186319,-0.14195652721531501,0.008890438790691594,-0.051290759742510246,-0.0915804800913809,-0.024148765882886218,-0.0669593058043008
Advance Auto Parts,3,-0.018742468427045498,-0.17747793434453282,0.10558730845345245,-0.01537622803322162,0.05418911575771725,-0.06322094528997023,0.21413874009824066,-0.01154058959894002,-0.03587923839606544,0.08320074415675269,0.10635640629601296,-0.2432221383321688,-0.021836593761706255,0.11789603805510086,-0.10719254978554749,-0.04152614781748889,-0.14556128828492507,0.28155176154466105,0.17247317063155573,0.06714666576783193,-0.16402328469826338,0.13257053862548107,0.04404379958483081,-0.1500746746089209,0.11921229542094451,0.04016845409586897,-0.06703553338593767,0.0870418393358082,0.03403176085729569,-0.07764943169651968,-0.022160379802254576,-0.00811463307477158,0.009422932453338551,0.16444468891956399,0.122935649413193,0.0129927856780597,0.06258962785761281,-0.00895551352066973,0.007387858573793339,0.031188419443153818,0.04453051815289964,-0.14800175544584482,0.02040052020877301,0.006544187063625388,-0.09505708273913024,-0.011791437585634463,-0.13164652291317744,0.09617189091257922,0.027378229899140762,0.05713218056159319,0.028684964653348514,-0.035209624523209235,0.031126944296145417,-0.0636025875624907,0.06282834823160656,0.04044507351716413,-0.031841505745255204,-0.21336810686662577,-0.06492924798582882,0.10646069842919338,-0.05369053353865851,-0.03979696900261829,-0.009545997783909708,0.03393017853443477,-0.06882362570065735,-0.03745125857606079,-0.025047581534621305,0.1257264235169824,-0.05904843717179946,0.015279218607278641,-0.0034913417826798157,-0.023393759707961065,-0.07440697909317175,0.03229236509057,-0.09515112766961975,-0.03315904394663128,0.07323961701356482,-0.12990790672553584,-0.08750124093568672,-0.006317175487192232
AES Corp,2,0.23629106310788972,-0.24543114375016603,0.13058471518623926,0.07740498948895821,-0.061106553741710944,-0.1512995105879085,-0.16114489661544568,-0.01081792278654179,-0.021856970579527,0.18763394908254988,-0.019375208670148903,0.14864502469130608,-0.07925165171545095,0.07661792198585048,-0.021547968144799454,0.004954593314605677,0.14587057418005278,-0.06131597957989779,0.02995902849535626,0.05600634656451997,-0.07574639187626088,0.04445999321520547,-0.011228714120894162,-0.035761850755613486,-0.15315827490614944,-0.05901172568266614,0.02211971610090888,0.13645746652220272,0.03235718145513417,0.07700453380910206,0.0894881808617729,-0.051844453149322754,0.004401414100732192,0.170281675914059,0.0025455693203418534,0.15573570748064175,-0.014127415032608632,0.015003959033415969,-0.021137124243987834,-0.14881589804053563,0.05514229363421236,-0.06399824936149784,0.0801341589240035,0.03302277490035877,0.06862270903776932,0.10123588310690729,0.11369135884569516,0.03194051696340157,-0.01888088518539457,-0.08237892421280331,-0.1078587328500038,-0.020215611003417077,-0.0802023955208952,0.06497359305077702,-0.019965541394117593,-0.0034594934452661496,0.0598054347264417,-0.0063667310557934086,0.07875023127848481,-0.09259657497688552,0.016522353269953848,0.1060839441738583,-0.09905967332918905,-0.04668425084479728,0.03360995693854487,-0.007820257877793621,0.024274094318992644,-0.061063920360296974,-0.04794235585041259,-0.03805558458648122,-0.022804996601090925,0.03619765686353379,-0.08884656830559265,0.004495542209691305,-0.054496098778061254,0.012453663324549415,0.06585051727221897,-0.07988142526594794,-0.09419758800417137,0.10343096336811718
